claim_id,file_line,value,macro_or_literal,provenance,configuration,status,claim_context
CL0843,presentations/v6/talk_v6.tex:1129,0.241,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1129,Context: {frame}{G1 — BLUE Weight Derivation},unverified,\begin{frame}{G1 — BLUE Weight Derivation}     $\rho_\text{BLUE} = 0.241 = C_{ET}/(\sigma_E^\text{IQR}\sigma_T^\text{IQR})$\\
CL0844,presentations/v6/talk_v6.tex:1131,0.160,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1131,Context: {frame}{G1 — BLUE Weight Derivation},unverified,\begin{frame}{G1 — BLUE Weight Derivation}     $\rho_\text{emp} = 0.160$ is the Pearson corrcoef\\
CL0845,presentations/v6/talk_v6.tex:1138,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1138,Context: {frame}{G2 — Covariance Convention Comparison},unverified,\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Three conventions for $C_{ET}$ and $w_E$ at $x=0$:}\\[4pt]
CL0846,presentations/v6/talk_v6.tex:1141,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1141,Context: {frame}{G2 — Covariance Convention Comparison},unverified,\begin{frame}{G2 — Covariance Convention Comparison}     Convention & $C_{ET}$ (ps$^2$) & $w_E$ & $\sigma_\text{IQR}^\text{ev}$ (ps) \\
CL0847,presentations/v6/talk_v6.tex:1143,196.3,\CETval,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{G2 — Covariance Convention Comparison}     best\_est (IQR $\sigma^2$, emp.\ cov) & \CETval    & \wEND       & \sigBLUEbestest \\"
CL0848,presentations/v6/talk_v6.tex:1143,0.013,\wEND,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{G2 — Covariance Convention Comparison}     best\_est (IQR $\sigma^2$, emp.\ cov) & \CETval    & \wEND       & \sigBLUEbestest \\"
CL0849,presentations/v6/talk_v6.tex:1143,15.21,\sigBLUEbestest,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{G2 — Covariance Convention Comparison}     best\_est (IQR $\sigma^2$, emp.\ cov) & \CETval    & \wEND       & \sigBLUEbestest \\"
CL0850,presentations/v6/talk_v6.tex:1143,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1143,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}     best\_est (IQR $\sigma^2$, emp.\ cov) & \CETval    & \wEND       & \sigBLUEbestest \\"
CL0851,presentations/v6/talk_v6.tex:1144,80.5,\CETrobust,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,\begin{frame}{G2 — Covariance Convention Comparison}     robust IQR (polarization)             & \CETrobust & \wENDrobust & \sigBLUErobust \\
CL0852,presentations/v6/talk_v6.tex:1144,0.051,\wENDrobust,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,\begin{frame}{G2 — Covariance Convention Comparison}     robust IQR (polarization)             & \CETrobust & \wENDrobust & \sigBLUErobust \\
CL0853,presentations/v6/talk_v6.tex:1144,15.12,\sigBLUErobust,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,\begin{frame}{G2 — Covariance Convention Comparison}     robust IQR (polarization)             & \CETrobust & \wENDrobust & \sigBLUErobust \\
CL0854,presentations/v6/talk_v6.tex:1145,196.3,\CETval,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,\begin{frame}{G2 — Covariance Convention Comparison}     empirical (np.var $+$ np.cov)         & \CETval    & \wENDemp    & \sigBLUEemp \\
CL0855,presentations/v6/talk_v6.tex:1145,0.086,\wENDemp,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,\begin{frame}{G2 — Covariance Convention Comparison}     empirical (np.var $+$ np.cov)         & \CETval    & \wENDemp    & \sigBLUEemp \\
CL0856,presentations/v6/talk_v6.tex:1145,15.03,\sigBLUEemp,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,\begin{frame}{G2 — Covariance Convention Comparison}     empirical (np.var $+$ np.cov)         & \CETval    & \wENDemp    & \sigBLUEemp \\
CL0857,presentations/v6/talk_v6.tex:1148,0.18,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1148,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   All three within $0.18\ps$ of each other — comparable to bootstrap SE (${\approx}0.17\ps$, $n=5000$). The convention is not resolved by this dataset; no design conclusion depends on it.\\[4pt]"
CL0858,presentations/v6/talk_v6.tex:1148,0.17,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1148,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   All three within $0.18\ps$ of each other — comparable to bootstrap SE (${\approx}0.17\ps$, $n=5000$). The convention is not resolved by this dataset; no design conclusion depends on it.\\[4pt]"
CL0859,presentations/v6/talk_v6.tex:1148,5000,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1148,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   All three within $0.18\ps$ of each other — comparable to bootstrap SE (${\approx}0.17\ps$, $n=5000$). The convention is not resolved by this dataset; no design conclusion depends on it.\\[4pt]"
CL0860,presentations/v6/talk_v6.tex:1149,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1149,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   $\sigma_\text{IQR}(w)$ flat to within one SE over $w\in[0,0.1]$ (total variation $0.26\ps$).\\[5pt]"
CL0861,presentations/v6/talk_v6.tex:1149,0.1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1149,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   $\sigma_\text{IQR}(w)$ flat to within one SE over $w\in[0,0.1]$ (total variation $0.26\ps$).\\[5pt]"
CL0862,presentations/v6/talk_v6.tex:1149,0.26,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1149,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   $\sigma_\text{IQR}(w)$ flat to within one SE over $w\in[0,0.1]$ (total variation $0.26\ps$).\\[5pt]"
CL0863,presentations/v6/talk_v6.tex:1150,16.8,\sigmaTOPxpsix,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0864,presentations/v6/talk_v6.tex:1150,0.065,\wstarxpsix,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0865,presentations/v6/talk_v6.tex:1150,15.20,\sigmaTOPbval,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0866,presentations/v6/talk_v6.tex:1150,0.080,\wstarxzero,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0867,presentations/v6/talk_v6.tex:1150,24.3,\sigmaTOPxptwo,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0868,presentations/v6/talk_v6.tex:1150,0.125,\wstarxptwo,/home/rrios/ej200_deck_20260910/analysis/optim/root_best_est/verification.json; /home/rrios/ej200/analysis/optim/root_best_est/blue_wscan_x0.meta.json; historical provenance located; not validated for corrected EndTop and timing re-simulation not authorized,"EJ-230, historical EndTop, N_TOP=20; x=0 unless macro specifies +200/+600; estimator conventions differ",unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0869,presentations/v6/talk_v6.tex:1150,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1150,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0870,presentations/v6/talk_v6.tex:1150,81,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1150,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0871,presentations/v6/talk_v6.tex:1150,5000,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1150,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0872,presentations/v6/talk_v6.tex:1150,1.25,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1150,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0873,presentations/v6/talk_v6.tex:1150,600,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1150,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0874,presentations/v6/talk_v6.tex:1150,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1150,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0875,presentations/v6/talk_v6.tex:1150,200,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1150,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0876,presentations/v6/talk_v6.tex:1150,0,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1150,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0877,presentations/v6/talk_v6.tex:1150,600,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1150,Context: {frame}{G2 — Covariance Convention Comparison},unverified,"\begin{frame}{G2 — Covariance Convention Comparison}   \textbf{Qualitative BLUE check:} $w^*$ increases with $\sigma_T$ as expected ($w_E$ monotone increasing in $\sigma_T^2$ in BLUE). Empirical $w^*$ (biased argmin, 81-point scan on the \emph{same} $n{=}5000$ sample, $\lesssim\!1.25\sigma$ improvement, \textbf{not resolved} — reported as a diagnostic, not a result): $x{=}{+}600$ ($\sigma_T{=}\sigmaTOPxpsix\ps$, $w^*{=}\wstarxpsix$), $x{=}0$ ($\sigma_T{=}\sigmaTOPbval\ps$, $w^*{=}\wstarxzero$), $x{=}{+}200$ ($\sigma_T{=}\sigmaTOPxptwo\ps$, $w^*{=}\wstarxptwo$). Mostly monotone in $\sigma_T$; $x{=}0$ vs $x{=}{+}600$ reversed — statistical noise."
CL0878,presentations/v6/talk_v6.tex:1157,\includegraphics[width=\linewidth]{figs/#1},\anafig,No independently matching source located; deck declaration only: presentations/v6/talk_v6.tex:20,Configuration not established from an independent source,unverified,\begin{frame}{H1 — TOP Centroid Position: Saturation and Edge Bias}     \anafig{v5_top_position_loo}\\[2pt]
CL0879,presentations/v6/talk_v6.tex:1158,12,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1158,Context: {frame}{H1 — TOP Centroid Position: Saturation and Edge Bias},unverified,"\begin{frame}{H1 — TOP Centroid Position: Saturation and Edge Bias}     \footnotesize LOO calibration: 12 training positions, 1 test. Linear and cubic fits shown."
CL0880,presentations/v6/talk_v6.tex:1158,1,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1158,Context: {frame}{H1 — TOP Centroid Position: Saturation and Edge Bias},unverified,"\begin{frame}{H1 — TOP Centroid Position: Saturation and Edge Bias}     \footnotesize LOO calibration: 12 training positions, 1 test. Linear and cubic fits shown."
CL0881,presentations/v6/talk_v6.tex:1162,+600,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1162,Context: {frame}{H1 — TOP Centroid Position: Saturation and Edge Bias},unverified,"\begin{frame}{H1 — TOP Centroid Position: Saturation and Edge Bias}     The TOP SiPMs are uniformly distributed over $\pm700\mm$. When the muon hits at $x=+600\mm$, nearly all photons go to the rightmost SiPMs but the centroid cannot exceed the physical SiPM span.\\[4pt]"
CL0882,presentations/v6/talk_v6.tex:1163,2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1163,Context: {frame}{H1 — TOP Centroid Position: Saturation and Edge Bias},unverified,\begin{frame}{H1 — TOP Centroid Position: Saturation and Edge Bias}     True $x=\pm600\mm$ → centroid $\approx\pm313\mm$. Factor $\sim\!2$ compression.\\[6pt]
CL0883,presentations/v6/talk_v6.tex:1169,17.2,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1169,Context: {frame}{H1 — TOP Centroid Position: Saturation and Edge Bias},unverified,\begin{frame}{H1 — TOP Centroid Position: Saturation and Edge Bias}       Linear & 17.2 & 28.8 \\
CL0884,presentations/v6/talk_v6.tex:1169,28.8,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1169,Context: {frame}{H1 — TOP Centroid Position: Saturation and Edge Bias},unverified,\begin{frame}{H1 — TOP Centroid Position: Saturation and Edge Bias}       Linear & 17.2 & 28.8 \\
CL0885,presentations/v6/talk_v6.tex:1170,18.4,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1170,Context: {frame}{H1 — TOP Centroid Position: Saturation and Edge Bias},unverified,\begin{frame}{H1 — TOP Centroid Position: Saturation and Edge Bias}       Cubic  & 18.4 & 23.8 \\
CL0886,presentations/v6/talk_v6.tex:1170,23.8,literal,No independently matching producer sidecar found for this literal; source declaration is talk_v6.tex:1170,Context: {frame}{H1 — TOP Centroid Position: Saturation and Edge Bias},unverified,\begin{frame}{H1 — TOP Centroid Position: Saturation and Edge Bias}       Cubic  & 18.4 & 23.8 \\
